хæдзар տուն სახლი
хур արև მზე
саг եղնիկ ირმის
мигъ ամպ ღრუბელი
арвӕрдын ծիածան ცისარტყელა
къӕвда անձրեւ წვიმა
мит ձյուն თოვლი
чиныг գիրք წიგნი
тӕрхъус նապաստակ კურდღელი
рувас աղվես მელა
бирӕгъ գայլ მგელი
арс արջ დათვი
акулæ շնաձուկ ზვიგენი
бӕх ձի ცხენი
хӕфс գորտ ბაყაყი
домбай առյուծ ლომი
хъуг կով ძროხა
кӕсаг ձուկ თევზი
гæды կատու კატა
куыдз շուն ძაღლი
калм օձ გველი
мыст մուկ მაუსი
фыс ոչխարներ ცხვარი
дуар միդուռ კარი
стъол սեղան მაგიდა
телефон հեռախոս ტელეფონი
бандон Աթոռ სკამი
сынтæг մահճակալ საწოლი
фæткъуы խնձոր ვაშლი
саунæмыг հապալաս მოცვი
мæнæргъы ազնվամորու ჟოლო
машинӕ ավտոմեքենա მანქანა
пъамидор լոլիկ პომიდორი
джитъри վարունգ კიტრი
уарди վարդը ვარდი

